architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexicity_density,unique_ngram_count
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,__umodti3,101064,ECC,69,106,39,11,8,0.103773585,3.782608696,4,66,41,65,11,0,261,0.371823325,0.105878815,146,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,6,0,0,113,68,115,0.013636364,6.255769597,3.079228368,0.149425287,151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_00100680,100680,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_00100690,100690,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.854067142,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_001006a0,001006a0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_001006b0,001006b0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_001006c0,001006c0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,FUN_001006d0,001006d0,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,_start,1.01E+03,Non-Crypto,1,3,4,1,1,0.333333333,12,0,3,0,3,1,0,12,1.862985834,0.086956522,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,4,0.086956522,4.616874606,1.910269941,0.333333333,11
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,_PREINIT_0,100702,Non-Crypto,1,0,1,0,0,0,3,1,1,0,0,0,0,3,1.303515793,0.2,2,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,1,1,2,0,3.121928095,1.921928095,0.333333333,2
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,deregister_tm_clones,0010070e,Non-Crypto,4,5,3,0,0,0,2.5,1,5,2,3,0,0,10,1.034242869,0.085714286,2,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,3,3,6,0.052631579,4.215360357,2.259799223,0.3,8
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,register_tm_clones,100730,Non-Crypto,4,5,3,0,0,0,3.75,1,5,2,3,0,0,15,0.946668011,0.10515873,8,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,6,4,8,0.037037037,4.481714573,2.646157985,0.2,13
riscv,Non-Crypto,clang,O2,ecc_riscv_clang_O2.elf,__do_global_dtors_aux,0010075c,Non-Crypto,5,8,5,1,1,0.125,4,2,7,2,6,1,0,20,1.567499428,0.068253968,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,16,3,3,14,0.166666667,5.055751254,2.311358185,0.25,18
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,init_demo_curve,100798,ECC,1,0,1,0,0,0,12,1,1,0,0,0,0,12,1.082426004,0,10,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,7,0.233333333,3.842370993,1.643346334,0.083333333,7
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,point_double,001007b4,ECC,5,20,17,0,0,0,18.2,1,10,3,17,0,0,91,1.219018103,0.067552483,98,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,26,13,53,0.10619469,5.297205781,2.04852078,0.186813187,30
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,point_infinity,001008aa,ECC,1,0,1,0,0,0,9,1,1,0,0,0,0,9,1.435510082,0.043478261,8,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,3,0,0,1,1,8,0.260869565,4.277613437,2.212202849,0.111111111,6
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,mod_add,001008c0,ECC,3,3,2,0,0,0,1.666666667,1,3,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,3,0,3.521640636,2.584962501,0.4,4
riscv,ECC,clang,O2,ecc_riscv_clang_O2.elf,mod_mul,001008ce,ECC,1,1,2,0,0,0,11,0,2,0,1,0,0,11,1.575129401,0.074074074,8,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,2,1,8,0.074074074,4.415061012,2.132193283,0.181818182,10
