architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,FUN_00100650,00100650,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,1,0,0.0,3,1.8874004757140457,0.18181818181818182,6,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1,0,0,2,1,3,0.09090909090909091,2.8553885422075336,1.971747257128181,0.6666666666666666,2
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,FUN_00100660,00100660,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,1,0,0.0,3,1.8874004757140457,0.18181818181818182,6,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1,0,0,2,1,3,0.09090909090909091,2.688721875540867,1.971747257128181,0.6666666666666666,2
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,FUN_00100670,00100670,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,1,0,0.0,3,1.8874004757140455,0.18181818181818182,6,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1,0,0,2,1,3,0.09090909090909091,2.8553885422075336,1.971747257128181,0.6666666666666666,2
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,FUN_00100680,00100680,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,1,0,0.0,3,1.8874004757140457,0.18181818181818182,6,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1,0,0,2,1,3,0.09090909090909091,2.688721875540867,1.971747257128181,0.6666666666666666,2
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,FUN_00100690,00100690,Non-Crypto,1,1,2,0,0,0.0,3.0,0,2,0,1,0,0.0,3,1.8874004757140457,0.18181818181818182,6,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1,0,0,2,1,3,0.09090909090909091,2.8553885422075336,1.971747257128181,0.6666666666666666,2
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,_start,001006a0,Non-Crypto,1,3,4,1,1,0.3333333333333333,12.0,0,3,0,3,1,0.0,12,1.9095980179007692,0.08695652173913043,6,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1,0,0,2,1,4,0.08695652173913043,4.616874605956221,1.9102699414555262,0.3333333333333333,11
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,_PREINIT_0,001006c2,Non-Crypto,1,0,1,0,0,0.0,3.0,1,1,0,0,0,0.0,3,1.5131168549735339,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,0,0,0,1,1,2,0.0,3.121928094887362,1.9219280948873623,0.3333333333333333,2
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,deregister_tm_clones,001006ce,Non-Crypto,4,5,3,0,0,0.0,2.5,1,5,2,3,0,0.0,10,1.0342428686443523,0.08571428571428572,2,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,2,0,0,3,3,6,0.05263157894736842,4.1343342542924955,2.2597992234005675,0.3,8
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,register_tm_clones,001006f0,Non-Crypto,4,5,3,0,0,0.0,3.75,1,5,2,3,0,0.0,15,0.9388416256499486,0.10515873015873016,8,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,2,0,0,6,4,8,0.037037037037037035,4.40796201621706,2.6461579847728203,0.2,13
riscv,Non-Crypto,clang,O0,rsa4096_riscv_clang_O0.elf,__do_global_dtors_aux,0010071c,Non-Crypto,5,8,5,1,1,0.125,4.0,2,7,2,6,1,0.0,20,1.5674994275204086,0.06825396825396826,16,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,1,0,16,3,3,14,0.16666666666666666,5.008253193142326,2.3113581852420246,0.25,18
