function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
mbedtls_net_set_nonblock,00015a3c,mips,gcc,O2,1,1,0,0,1,2,3,0,0,0.0,21.0,1,2,21,1.667569423427532,0.13114754098360656,36,1,0.22950819672131148,0.11475409836065574,0.14754098360655737,0.0,0.0,0.01639344262295082,0,0,32,8,10,14,0.14754098360655737,4.666201726830058,2.102389193534757,0.14285714285714285,18,unknown,0,2,0,0.0,unknown,1,unknown
mbedtls_net_poll,00015a90,mips,gcc,O2,1,1,0,0,14,23,11,3,3,0.13043478260869565,8.5,2,16,119,1.3532061822067494,0.2256467182732416,190,9,0.1958041958041958,0.11538461538461539,0.12937062937062938,0.0,0.0034965034965034965,0.08041958041958042,0,0,336,56,102,60,0.12937062937062938,5.458101852962457,2.6759268048820615,0.09243697478991597,75,unknown,7,16,3,0.9130434782608695,unknown,1,unknown
mbedtls_net_usleep,00015c6c,mips,gcc,O2,1,1,0,0,1,1,2,0,0,0.0,30.0,1,2,30,1.5656164263365848,0.19230769230769232,60,0,0.20512820512820512,0.1282051282051282,0.11538461538461539,0.0,0.02564102564102564,0.0641025641025641,0,0,56,15,25,19,0.11538461538461539,4.935534162060206,2.5560447372801307,0.06666666666666667,24,unknown,0,1,0,0.0,unknown,1,unknown
mbedtls_net_recv,00015ce4,mips,gcc,O2,1,1,0,0,12,19,9,4,4,0.21052631578947367,5.0,3,15,60,1.2627214135218912,0.054823986332121495,124,7,0.19,0.085,0.145,0.0,0.0,0.005,0,0,40,18,20,38,0.145,4.854488005010275,2.2094484198673117,0.15,38,unknown,7,12,4,0.5789473684210527,unknown,1,unknown
mbedtls_net_recv_timeout,00015dd4,mips,gcc,O2,1,1,0,0,12,19,9,4,4,0.21052631578947367,8.666666666666666,2,16,104,1.2694920041800268,0.16303865298485634,186,7,0.2028985507246377,0.10144927536231885,0.14130434782608695,0.0036231884057971015,0.0036231884057971015,0.04710144927536232,0,0,208,41,68,60,0.14130434782608695,5.33245394958684,2.586861203006161,0.08653846153846154,63,unknown,5,14,4,0.8421052631578947,unknown,1,unknown
mbedtls_net_send,00015f74,mips,gcc,O2,1,1,0,0,12,19,9,4,4,0.21052631578947367,5.0,4,15,60,1.2715602303228681,0.054823986332121495,124,7,0.19,0.085,0.145,0.0,0.0,0.005,0,0,40,18,20,38,0.145,4.8528722126783865,2.2094484198673117,0.15,38,unknown,7,12,4,0.5789473684210527,unknown,1,unknown
mbedtls_net_close,00016064,mips,gcc,O2,1,1,0,0,3,4,3,0,0,0.0,7.0,1,4,21,1.375280087850947,0.11245791245791247,42,1,0.23880597014925373,0.07462686567164178,0.16417910447761194,0.0,0.0,0.014925373134328358,0,0,40,6,8,16,0.16417910447761194,4.595080673841521,2.198635228088164,0.14285714285714285,19,unknown,1,3,0,0.25,unknown,1,unknown
mbedtls_net_connect,000160b8,mips,gcc,O2,1,1,0,0,15,27,14,6,5,0.2222222222222222,5.866666666666666,2,18,88,1.262067258632002,0.06520214655544856,200,12,0.19047619047619047,0.08843537414965986,0.16666666666666666,0.0,0.0,0.003401360544217687,0,0,88,27,29,56,0.16666666666666666,5.288591147891525,2.2354521944829417,0.1590909090909091,53,unknown,7,20,6,0.7037037037037037,unknown,1,unknown
mbedtls_net_bind,00016218,mips,gcc,O2,1,1,0,0,21,39,20,10,9,0.2564102564102564,6.142857142857143,2,20,129,1.2142360525112386,0.06939288289462506,312,18,0.1872146118721461,0.091324200913242,0.1689497716894977,0.00228310502283105,0.0,0.00228310502283105,0,0,104,41,44,82,0.1689497716894977,5.416202102108059,2.266120566996303,0.15503875968992248,64,unknown,9,30,10,0.6923076923076923,unknown,1,unknown
mbedtls_net_free,0001641c,mips,gcc,O2,1,1,0,0,5,7,4,0,0,0.0,5.8,3,7,29,1.2626325359873367,0.15494949494949495,68,2,0.2,0.09,0.15,0.0,0.0,0.01,0,0,40,10,12,20,0.15,4.63720215148823,2.158244432158685,0.13793103448275862,26,unknown,2,5,0,0.14285714285714285,unknown,1,unknown
