function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
FUN_00045598,00045598,mips,gcc,O2,1,1,0,0,67,152,87,73,73,0.48026315789473684,6.865671641791045,1,76,460,1.467099415948744,0.07660450454483471,1012,85,0.21153846153846154,0.11538461538461539,0.1544871794871795,0.0,0.0,0.000641025641025641,0,0,272,181,183,330,0.1544871794871795,5.481810003435508,2.241590030807451,0.1891304347826087,88,unknown,40,112,73,0.875,unknown,1,unknown
FUN_00045cc8,00045cc8,mips,gcc,O2,1,1,0,0,33,65,34,29,29,0.4461538461538462,5.454545454545454,1,40,180,1.3722254913957936,0.06160162430506537,354,32,0.2025089605734767,0.10215053763440861,0.15949820788530467,0.0,0.0,0.0017921146953405018,0,0,100,58,60,114,0.15949820788530467,5.497095114929241,2.316110558135194,0.18888888888888888,70,unknown,22,43,29,0.7692307692307693,unknown,1,unknown
FUN_00045f98,00045f98,mips,gcc,O2,1,1,0,0,35,70,37,29,29,0.4142857142857143,5.857142857142857,1,48,205,1.3827784407661676,0.10504414868226006,410,35,0.21003134796238246,0.0987460815047022,0.1677115987460815,0.001567398119122257,0.0,0.001567398119122257,0,0,116,64,67,134,0.1677115987460815,5.6159576158684965,2.3337858271868765,0.18048780487804877,73,unknown,20,50,29,0.6,unknown,1,unknown
FUN_000462cc,000462cc,mips,gcc,O2,1,1,0,0,19,37,20,17,17,0.4594594594594595,7.421052631578948,1,26,141,1.438695143422455,0.056266278481568864,300,18,0.2222222222222222,0.08,0.17777777777777778,0.0,0.0,0.0022222222222222222,0,0,156,37,39,100,0.17777777777777778,5.523865740612782,2.258514421810183,0.14184397163120568,49,unknown,11,26,17,0.8378378378378378,unknown,1,unknown
mbedtls_pk_parse_subpubkey,00046500,mips,gcc,O2,1,1,0,0,33,58,27,25,25,0.43103448275862066,4.666666666666667,1,44,154,1.2468619691019385,0.1077150837064757,298,25,0.210752688172043,0.08817204301075268,0.16559139784946236,0.0,0.0,0.002150537634408602,0,0,96,42,44,101,0.16559139784946236,5.5618512501872015,2.410334306963591,0.17532467532467533,76,unknown,15,43,25,0.43103448275862066,unknown,1,unknown
mbedtls_pk_parse_key,00046768,mips,gcc,O2,1,1,0,0,55,124,71,56,56,0.45161290322580644,6.963636363636364,1,70,383,1.3274849302187965,0.09196331790291883,776,69,0.20315091210613598,0.09203980099502487,0.1791044776119403,0.0,0.0,0.0008291873963515755,0,0,124,112,114,245,0.1791044776119403,5.5417898288715675,2.2799688382689713,0.185378590078329,77,unknown,34,90,56,0.717741935483871,unknown,1,unknown
mbedtls_pk_parse_public_key,00046d64,mips,gcc,O2,1,1,0,0,31,65,36,32,32,0.49230769230769234,6.645161290322581,2,40,206,1.3577543352485688,0.11444585249214441,422,34,0.21580547112462006,0.08206686930091185,0.182370820668693,0.0,0.0,0.001519756838905775,0,0,112,55,57,142,0.182370820668693,5.580657933128762,2.3148045827253303,0.17475728155339806,66,unknown,16,49,32,0.4461538461538462,unknown,1,unknown
mbedtls_pk_load_file,0004709c,mips,gcc,O2,1,1,0,0,11,28,19,3,3,0.10714285714285714,9.636363636363637,1,20,106,1.5140203721695982,0.14020092970282846,312,17,0.17366946778711484,0.15126050420168066,0.1400560224089636,0.0,0.0,0.0028011204481792717,0,0,48,55,57,62,0.1400560224089636,4.9728525347593795,2.2191078231611803,0.1792452830188679,53,unknown,5,23,3,1.4642857142857142,unknown,1,unknown
mbedtls_pk_parse_keyfile,00047244,mips,gcc,O2,1,1,0,0,6,10,6,3,3,0.3,11.833333333333334,2,10,71,1.3098612526363707,0.10228748346873946,156,4,0.22321428571428573,0.11607142857142858,0.18303571428571427,0.0,0.0,0.004464285714285714,0,0,76,27,29,50,0.18303571428571427,5.112447088778769,2.3437421864785355,0.08450704225352113,30,unknown,2,8,3,0.6,unknown,1,unknown
mbedtls_pk_parse_public_keyfile,00047360,mips,gcc,O2,1,1,0,0,3,5,4,2,2,0.4,13.666666666666666,2,6,41,1.4202043965147901,0.14122427280322017,84,2,0.2396694214876033,0.12396694214876033,0.1652892561983471,0.0,0.0,0.008264462809917356,0,0,48,16,18,29,0.1652892561983471,4.8909281808545035,2.3909054384761683,0.0975609756097561,21,unknown,1,4,2,0.8,unknown,1,unknown
